target_stor_final,target_rel_final
11255.505,579.5241153
11255.505,602.7741153
11255.505,626.0241153
11255.505,607.8411153
11255.505,584.5911153
11255.505,561.3411153
11255.505,538.0911153
11255.505,514.8411153
11255.505,491.5911153
11255.505,468.3411153
11255.505,445.0911153
11255.505,437.9401153
11255.505,461.1901153
11255.505,466.2571153
11255.505,466.2571153
11255.505,443.0071153
11255.505,419.7571153
11255.505,409.6231153
11255.505,409.6231153
11255.505,409.6231153
11255.505,386.3731153
11255.505,381.3061153
11255.505,404.5561153
11255.505,427.8061153
11255.505,409.6231153
11255.505,409.6231153
11255.505,432.8731153
11255.505,437.9401153
11255.505,437.9401153
11255.505,461.1901153
11255.505,437.9401153
11255.505,461.1901153
11255.505,484.4401153
11255.505,494.5741153
11255.505,494.5741153
11255.505,471.3241153
11255.505,466.2571153
11255.505,489.5071153
11255.505,494.5741153
11255.505,517.8241153
11255.505,494.5741153
11255.505,471.3241153
11255.505,494.5741153
11255.505,471.3241153
11255.505,494.5741153
11255.505,494.5741153
11255.505,471.3241153
11255.505,448.0741153
11255.505,424.8241153
11255.505,401.5741153
11255.505,378.3241153
11255.505,401.5741153
11255.505,381.3061153
11255.505,404.5561153
11255.505,427.8061153
11255.505,451.0561153
11255.505,474.3061153
11255.505,497.5561153
11255.505,520.8061153
11255.505,544.0561153
11255.505,522.8901153
11255.505,546.1401153
11255.505,569.3901153
11255.505,592.6401153
11255.505,615.8901153
11255.505,636.1581153
11255.505,636.1581153
11255.505,612.9081153
11255.505,607.8411153
11255.505,607.8411153
11255.505,607.8411153
11255.505,607.8411153
11255.505,584.5911153
11255.505,579.5241153
11255.505,556.2741153
11255.505,533.0241153
11255.505,509.7741153
11255.505,494.5741153
11255.505,471.3241153
11255.505,466.2571153
11255.505,443.0071153
11255.505,419.7571153
11255.505,409.6231153
11255.505,409.6231153
11255.505,409.6231153
11255.505,409.6231153
11255.505,386.3731153
11255.505,363.1231153
11255.505,386.3731153
11255.505,409.6231153
11255.505,409.6231153
11255.505,409.6231153
11255.505,432.8731153
11255.505,437.9401153
11255.505,414.6901153
11255.505,391.4401153
11255.505,368.1901153
11255.505,381.3061153
11255.505,404.5561153
11255.505,381.3061153
11255.505,381.3061153
11255.505,381.3061153
11255.505,381.3061153
11255.505,404.5561153
11255.505,409.6231153
11255.505,386.3731153
11255.505,363.1231153
11255.505,386.3731153
11255.505,409.6231153
11255.505,432.8731153
11255.505,409.6231153
11255.505,432.8731153
11255.505,409.6231153
11255.505,432.8731153
11255.505,456.1231153
11255.505,466.2571153
11255.505,489.5071153
11255.505,512.7571153
11255.505,494.5741153
11255.505,517.8241153
11255.505,541.0741153
11255.505,517.8241153
11255.505,522.8901153
11255.505,499.6401153
11255.505,476.3901153
11255.505,499.6401153
11255.505,494.5741153
11255.505,517.8241153
11255.505,522.8901153
11255.505,546.1401153
11255.505,569.3901153
11255.505,592.6401153
11255.505,615.8901153
11255.505,639.1401153
11255.505,662.3901153
11255.505,639.1401153
11255.505,636.1581153
11255.505,612.9081153
11255.505,589.6581153
11255.505,566.4081153
11255.505,551.2071153
11255.505,527.9571153
11255.505,551.2071153
11255.505,574.4571153
11255.505,597.7071153
11255.505,574.4571153
11255.505,597.7071153
11255.505,620.9571153
11255.505,644.2071153
11255.505,667.4571153
11255.505,690.7071153
11255.505,713.9571153
11255.505,737.2071153
11255.505,760.4571153
11255.505,783.7071153
11255.505,806.9571153
11255.505,830.2071153
11255.505,853.4571153
11255.505,876.7071153
11255.505,899.9571153
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,893.75
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,917
11255.505,893.75
11255.505,870.5
11255.505,847.25
11255.505,824
11255.505,800.75
11255.505,777.5
11255.505,754.25
11255.505,777.5
11255.505,754.25
11255.505,777.5
11255.505,800.75
11255.505,824
11255.505,847.25
11255.505,824
11255.505,834.3761153
11255.505,811.1261153
11255.505,787.8761153
11255.505,764.6261153
11255.505,741.3761153
11255.505,718.1261153
11255.505,694.8761153
11255.505,671.6261153
11255.505,648.3761153
11255.505,625.1261153
11255.505,601.8761153
11255.505,579.5241153
11255.505,556.2741153
11255.505,579.5241153
11255.505,602.7741153
11255.505,579.5241153
11255.505,556.2741153
11255.505,533.0241153
11255.505,509.7741153
11255.505,494.5741153
11255.505,517.8241153
11255.505,494.5741153
11255.505,471.3241153
11255.505,466.2571153
11255.505,466.2571153
11255.505,489.5071153
11255.505,466.2571153
11255.505,466.2571153
11255.505,489.5071153
11255.505,466.2571153
11255.505,443.0071153
11255.505,437.9401153
11255.505,414.6901153
11255.505,409.6231153
11255.505,409.6231153
11255.505,386.3731153
11255.505,409.6231153
11255.505,386.3731153
11255.505,363.1231153
11255.505,386.3731153
11255.505,409.6231153
11255.505,386.3731153
11255.505,409.6231153
11255.505,409.6231153
11255.505,409.6231153
11255.505,386.3731153
11255.505,363.1231153
11255.505,381.3061153
11255.505,381.3061153
11255.505,358.0561153
11255.505,381.3061153
11255.505,358.0561153
11255.505,334.8061153
11255.505,311.5561153
11255.505,334.8061153
11255.505,358.0561153
11255.505,381.3061153
11255.505,404.5561153
11255.505,427.8061153
11255.505,451.0561153
11255.505,466.2571153
11255.505,466.2571153
11255.505,466.2571153
11255.505,443.0071153
11255.505,419.7571153
11255.505,396.5071153
11255.505,373.2571153
11255.505,352.9891153
11255.505,376.2391153
11255.505,399.4891153
11255.505,422.7391153
11255.505,399.4891153
11255.505,376.2391153
11255.505,352.9891153
11255.505,329.7391153
11255.505,306.4891153
11255.505,296.3561153
11255.505,296.3561153
11255.505,319.6061153
11255.505,342.8561153
11255.505,366.1061153
11255.505,389.3561153
11255.505,412.6061153
11255.505,435.8561153
11255.505,412.6061153
11255.505,435.8561153
11255.505,412.6061153
11255.505,389.3561153
11255.505,366.1061153
11255.505,342.8561153
11255.505,319.6061153
11255.505,342.8561153
11255.505,366.1061153
11255.505,389.3561153
11255.505,412.6061153
11255.505,435.8561153
11255.505,459.1061153
11255.505,482.3561153
11255.505,494.5741153
11255.505,494.5741153
11255.505,494.5741153
11255.505,471.3241153
11255.505,448.0741153
11255.505,424.8241153
11255.505,409.6231153
11255.505,432.8731153
11255.505,437.9401153
11255.505,437.9401153
11255.505,437.9401153
11255.505,437.9401153
11255.505,461.1901153
11255.505,484.4401153
11255.505,507.6901153
11255.505,530.9401153
11255.505,554.1901153
11255.505,577.4401153
11255.505,554.1901153
11255.505,577.4401153
11255.505,600.6901153
11255.505,577.4401153
11255.505,554.1901153
11255.505,530.9401153
11255.505,507.6901153
11255.505,484.4401153
11255.505,461.1901153
11255.505,437.9401153
11255.505,461.1901153
11255.505,484.4401153
11255.505,461.1901153
11255.505,437.9401153
11255.505,414.6901153
11255.505,391.4401153
11255.505,368.1901153
11255.505,344.9401153
11255.505,368.1901153
11255.505,391.4401153
11255.505,414.6901153
11255.505,409.6231153
11255.505,432.8731153
11255.505,409.6231153
11255.505,432.8731153
11255.505,409.6231153
11255.505,386.3731153
11255.505,381.3061153
11255.505,404.5561153
11255.505,427.8061153
11255.505,437.9401153
11255.505,461.1901153
11255.505,466.2571153
11255.505,443.0071153
11255.505,419.7571153
11255.505,443.0071153
11255.505,466.2571153
11255.505,443.0071153
11255.505,419.7571153
11255.505,396.5071153
11255.505,373.2571153
11255.505,350.0071153
11255.505,326.7571153
11255.505,350.0071153
11255.505,326.7571153
11255.505,324.6721153
11255.505,301.4221153
11255.505,278.1721153
11255.505,301.4221153
11255.505,324.6721153
11255.505,347.9221153
11255.505,371.1721153
11255.505,394.4221153
11255.505,417.6721153
11255.505,440.9221153
11255.505,464.1721153
11255.505,487.4221153
11255.505,466.2571153
