Dam Name,State,Latitude,Longitude,Agency,Operational Target,Main Purpose,Other Uses,Storage (AF)
Blakely Mountain ,Arkansas,34.574105,-93.195081,USACE,Seasonal,Hydroelectricity,"FC,RE","3,760,700"
Bull Shoals,Arkansas,36.36625,-92.574583,USACE,Seasonal,Flood control,"HE,WS,RE","5,408,000"
Denison ,Oklahoma,33.822946,-96.573487,USACE,Seasonal,Flood control,"HE,WS","5,194,163"
Eufaula Lake,Oklahoma,35.307917,-95.357917,USACE,Uniform,Flood control,"HE,WS,RE","3,825,400"
Flaming Gorge,Utah,40.91625,-109.420417,USBR,Dynamic,Flood control,"RE,HE,WS","4,005,200"
Fort Peck ,Montana,48.001098,-106.414583,USACE,Dynamic,Flood control,"IR,HE,RE,NA","19,100,000"
Garrison,North Dakota,47.50613,-101.432292,USACE,Uniform,Flood control,"IR,HE,RE,NA","26,000,000"
Glen Canyon,Arizona,36.94125,-111.48625,USBR,Seasonal,Hydroelectricity,"IR,RE","25,025,826"
Grand Coulee,Washington,47.954652,-118.98095,USBR,Dynamic,Flood control,IR,"9,715,346"
Harry S. Truman ,Missouri,38.264873,-93.40625,USACE,Uniform,Flood control,"FS,RE,HE","5,202,000"
Hartwell ,Georgia,34.362083,-82.824583,USACE,Seasonal,Hydroelectricity,"FS,RE,WS,HE","3,438,700"
Hoover ,Arizona,36.0163,-114.7374,USBR,Seasonal,Hydroelectricity,"IR,WS","30,237,000"
J. Strom Thurmond ,Georgia,33.662083,-82.199583,USACE,Seasonal,Hydroelectricity,"FS,FC,RE,WS","3,820,000"
John H. Kerr ,Virginia,36.59625,-78.295417,USACE,Seasonal,Flood control,"RE,HE,WS,FS","3,363,500"
Kentucky,Kentucky,37.010296,-88.268652,TVA,Seasonal,Flood control,"HE,NA,RE","7,535,400"
Libby Dam,Montana,48.41028848,-115.3142655,USACE,Variable,Hydroelectricity,"FC,RE","6,027,000"
New Melones,California,37.949583,-120.524583,CDEC,Seasonal,Hydroelectricity,"IR,RE,WS","2,870,000"
Norris,Tennessee,36.22407,-84.092634,TVA,Dynamic,Flood control,"HE,RE,NA","3,363,168"
Oahe ,South Dakota,44.456316,-100.39797,USACE,Seasonal,Flood control,"IR,HE,RE,NA","23,600,000"
Oroville,California,39.54125,-121.482917,CDEC,Seasonal,Flood control,"IR,HE,WS,RE","3,540,000"
Sam Rayburn,Texas,31.06625,-94.107917,USACE,Uniform,Flood control,"HE,WS,RE,FS","6,520,000"
Shasta,California,40.720417,-122.422917,CDEC,Variable,Hydroelectricity,"WS,RE,IR,NA","4,661,860"
Table Rock,Missouri,36.597936,-93.311648,USACE,Seasonal,Flood control,"HE,WS,RE","3,462,000"
Toledo Bend,Louisiana,31.174682,-93.566547,TWDB,Uniform,Hydroelectricity,"WS,RE,NA","5,097,500"
Wolf Creek,Kentucky,36.867817,-85.14375,JCS,Uniform,Hydroelectricity,"FC,RE,WS","6,089,000"
